éûä‘,é÷çsó ÇP,é÷çsó ÇQ,é÷çsó ÇR,ó¨ó ÇP
2021-12-15 14:12:23.008400,1,1,1,1
2021-12-15 14:12:24.007499,1,1,1,1
2021-12-15 14:12:25.047015,1,1,1,1
2021-12-15 14:12:26.012052,1,1,1,1
2021-12-15 14:12:27.015014,1,1,1,1
2021-12-15 14:12:28.031336,1,1,1,1
2021-12-15 14:12:29.021733,1,1,1,1
2021-12-15 14:12:30.029462,1,1,1,1
2021-12-15 14:12:31.008456,1,1,1,1
2021-12-15 14:12:32.011169,1,1,1,1
2021-12-15 14:12:33.017261,1,1,1,1
2021-12-15 14:12:34.007736,1,1,1,1
2021-12-15 14:12:35.029024,1,1,1,1
2021-12-15 14:46:30.017303,1,1,1,1
2021-12-15 14:46:31.018704,1,1,1,1
2021-12-15 14:46:32.030417,1,1,1,1
2021-12-15 14:46:33.005826,1,1,1,1
2021-12-15 14:46:34.004964,1,1,1,1
2021-12-15 14:46:35.005855,1,1,1,1
2021-12-15 14:46:36.021139,1,1,1,1
2021-12-15 14:46:37.034731,1,1,1,1
2021-12-15 14:46:38.015001,1,1,1,1
2021-12-15 14:46:39.010587,1,1,1,1
2021-12-15 14:46:40.031924,1,1,1,1
2021-12-15 14:46:41.026029,1,1,1,1
2021-12-15 14:46:42.035932,1,1,1,1
2021-12-15 14:46:43.031469,1,1,1,1
